latitude,longitude,city,numberofcalls,bouroughs,state,zipcode,location
40.58485012,-73.81903413,FAR ROCKAWAY,106,QUEENS, NY,11693,Club/Bar/Restaurant
40.69161916,-73.90573918,,117,BROOKLYN, NY,11207,Club/Bar/Restaurant
40.76035852,-73.98928635,NEW YORK,42,MANHATTAN, NY,10036,Club/Bar/Restaurant
40.71696661,-73.95482851,,36,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.72306557,-73.98907949,NEW YORK,98,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.79585513,-73.93552852,NEW YORK,148,MANHATTAN, NY,10029,Club/Bar/Restaurant
40.71957476,-73.99950577,NEW YORK,10,MANHATTAN, NY,10013,Club/Bar/Restaurant
40.62084753,-74.02677137,,25,BROOKLYN, NY,11209,Club/Bar/Restaurant
40.72483716,-73.97832075,NEW YORK,127,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.8384769,-73.91310235,BRONX,65,BRONX, NY,10456,Club/Bar/Restaurant
40.75618226,-73.93008771,ASTORIA,18,QUEENS, NY,11106,Club/Bar/Restaurant
40.72979695,-73.95838458,,93,BROOKLYN, NY,11222,Club/Bar/Restaurant
40.62075694,-74.02683617,,143,BROOKLYN, NY,11209,Club/Bar/Restaurant
40.76331469,-73.92819586,ASTORIA,267,QUEENS, NY,11106,Club/Bar/Restaurant
40.71795041,-73.95792662,,64,BROOKLYN, NY,11249,Club/Bar/Restaurant
40.7111325,-73.96654457,,70,BROOKLYN, NY,11249,Club/Bar/Restaurant
40.75256615,-73.90524869,WOODSIDE,45,QUEENS, NY,11377,Club/Bar/Restaurant
40.74294904,-73.99646701,NEW YORK,85,MANHATTAN, NY,10011,Club/Bar/Restaurant
40.73234787,-73.98493936,NEW YORK,41,MANHATTAN, NY,10003,Club/Bar/Restaurant
40.71992609,-74.0002886,NEW YORK,55,MANHATTAN, NY,10013,Club/Bar/Restaurant
40.67596498,-73.81819204,SOUTH OZONE PARK,95,QUEENS, NY,11420,Club/Bar/Restaurant
40.63597511,-73.97814065,,183,BROOKLYN, NY,11218,Club/Bar/Restaurant
40.76349768,-73.87813729,EAST ELMHURST,59,QUEENS, NY,11369,Club/Bar/Restaurant
40.71175719,-73.94278797,,27,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.74091496,-73.99208259,NEW YORK,40,MANHATTAN, NY,10010,Club/Bar/Restaurant
40.75007365,-73.98636819,NEW YORK,30,MANHATTAN, NY,10018,Club/Bar/Restaurant
40.77756088,-73.95102149,NEW YORK,22,MANHATTAN, NY,10028,Club/Bar/Restaurant
40.72114459,-73.99370114,NEW YORK,87,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.75612923,-73.994297,NEW YORK,16,MANHATTAN, NY,10018,Club/Bar/Restaurant
40.76579016,-73.98728192,NEW YORK,60,MANHATTAN, NY,10019,Club/Bar/Restaurant
40.74934479,-73.9769377,NEW YORK,48,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.7327221,-74.00327627,NEW YORK,31,MANHATTAN, NY,10014,Club/Bar/Restaurant
40.73029727,-73.95326078,,16,BROOKLYN, NY,11222,Club/Bar/Restaurant
40.77680945,-73.95253489,NEW YORK,11,MANHATTAN, NY,10028,Club/Bar/Restaurant
40.71102508,-73.95029487,,40,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.86720969,-73.92253385,NEW YORK,141,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.86769186,-73.92121362,NEW YORK,16,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.7174035,-73.95605473,,38,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.72591124,-73.9836492,NEW YORK,32,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.51770136,-74.24054207,STATEN ISLAND,36,STATEN ISLAND, NY,10307,Club/Bar/Restaurant
40.74928842,-73.98454214,NEW YORK,63,MANHATTAN, NY,10001,Club/Bar/Restaurant
40.62343625,-74.02509733,,57,BROOKLYN, NY,11209,Club/Bar/Restaurant
40.72707618,-74.000184,NEW YORK,40,MANHATTAN, NY,10012,Club/Bar/Restaurant
40.68958479,-73.97198946,,16,BROOKLYN, NY,11205,Club/Bar/Restaurant
40.73915309,-74.00112587,NEW YORK,76,MANHATTAN, NY,10011,Club/Bar/Restaurant
40.74195612,-73.97792905,NEW YORK,13,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.70607594,-74.0042019,NEW YORK,17,MANHATTAN, NY,10038,Club/Bar/Restaurant
40.71286133,-73.95712905,,34,BROOKLYN, NY,11211,Club/Bar/Restaurant
40.743596,-73.98600864,NEW YORK,40,MANHATTAN, NY,10016,Club/Bar/Restaurant
40.67462684,-73.87725059,,19,BROOKLYN, NY,11208,Club/Bar/Restaurant
40.86941776,-73.91657993,NEW YORK,28,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.68035203,-73.97476588,,114,BROOKLYN, NY,11217,Club/Bar/Restaurant
40.86385196,-73.92523119,NEW YORK,194,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.77596729,-73.91512641,ASTORIA,82,QUEENS, NY,11105,Club/Bar/Restaurant
40.76227854,-73.92601303,ASTORIA,87,QUEENS, NY,11106,Club/Bar/Restaurant
40.72670835,-74.00275643,NEW YORK,14,MANHATTAN, NY,10012,Club/Bar/Restaurant
40.59916024,-73.96126399,,45,BROOKLYN, NY,11223,Club/Bar/Restaurant
40.73029441,-73.98223737,NEW YORK,66,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.75686026,-73.96709552,NEW YORK,44,MANHATTAN, NY,10022,Club/Bar/Restaurant
40.73913663,-74.00108618,NEW YORK,49,MANHATTAN, NY,10011,Club/Bar/Restaurant
40.71522127,-73.99171409,NY,184,MANHATTAN, NY,10002,Club/Bar/Restaurant
40.69332462,-73.96710163,,108,BROOKLYN, NY,11205,Club/Bar/Restaurant
40.6395296,-73.95128856,,287,BROOKLYN, NY,11226,Club/Bar/Restaurant
40.63555239,-73.97802189,,55,BROOKLYN, NY,11218,Club/Bar/Restaurant
40.81726755,-73.9422565,NEW YORK,120,MANHATTAN, NY,10030,Club/Bar/Restaurant
40.72894882,-73.97836993,NEW YORK,62,MANHATTAN, NY,10009,Club/Bar/Restaurant
40.69355175,-73.96476476,,16,BROOKLYN, NY,11205,Club/Bar/Restaurant
40.73434974,-74.00300933,NEW YORK,301,MANHATTAN, NY,10014,Club/Bar/Restaurant
40.78536042,-73.97298193,NEW YORK,186,MANHATTAN, NY,10024,Club/Bar/Restaurant
40.69313307,-73.96920047,,75,BROOKLYN, NY,11205,Club/Bar/Restaurant
40.7296035,-73.98823774,NEW YORK,183,MANHATTAN, NY,10003,Club/Bar/Restaurant
40.85256252,-73.78944935,BRONX,12,BRONX, NY,10464,Club/Bar/Restaurant
40.63283667,-74.02723013,,70,BROOKLYN, NY,11209,Club/Bar/Restaurant
40.76115165,-73.92364989,ASTORIA,42,QUEENS, NY,11106,Club/Bar/Restaurant
40.8658736,-73.92765489,NEW YORK,126,MANHATTAN, NY,10034,Club/Bar/Restaurant
40.75548196,-73.81543034,FLUSHING,16,QUEENS, NY,11355,Club/Bar/Restaurant
40.64998168,-73.83758618,HOWARD BEACH,399,QUEENS, NY,11414,Club/Bar/Restaurant
40.62204852,-74.03163848,,15,BROOKLYN, NY,11209,Club/Bar/Restaurant
40.69357091,-73.96460248,,36,BROOKLYN, NY,11205,Club/Bar/Restaurant
